Key	Distrito	Municipio	Freguesia	Eleitores (Anterior)	Eleitores (Corrente)	Percentagem de Votantes (Anterior)	Percentagem de Votantes (Corrente)	Votos Nulos (Anterior)	Votos Nulos (Corrente)	Votos Brancos (Anterior)	Votos Brancos (Corrente)	A - Votos (Anterior)	A - Votos (Corrente)	A - Percentagem (Anterior)	A - Percentagem (Corrente)	ADN - Votos (Anterior)	ADN - Votos (Corrente)	ADN - Percentagem (Anterior)	ADN - Percentagem (Corrente)	B.E. - Votos (Anterior)	B.E. - Votos (Corrente)	B.E. - Percentagem (Anterior)	B.E. - Percentagem (Corrente)	CDS-PP - Votos (Anterior)	CDS-PP - Votos (Corrente)	CDS-PP - Percentagem (Anterior)	CDS-PP - Percentagem (Corrente)	CH - Votos (Anterior)	CH - Votos (Corrente)	CH - Percentagem (Anterior)	CH - Percentagem (Corrente)	E - Votos (Anterior)	E - Votos (Corrente)	E - Percentagem (Anterior)	E - Percentagem (Corrente)	IL - Votos (Anterior)	IL - Votos (Corrente)	IL - Percentagem (Anterior)	IL - Percentagem (Corrente)	L - Votos (Anterior)	L - Votos (Corrente)	L - Percentagem (Anterior)	L - Percentagem (Corrente)	MAS - Votos (Anterior)	MAS - Votos (Corrente)	MAS - Percentagem (Anterior)	MAS - Percentagem (Corrente)	MPT - Votos (Anterior)	MPT - Votos (Corrente)	MPT - Percentagem (Anterior)	MPT - Percentagem (Corrente)	NC - Votos (Anterior)	NC - Votos (Corrente)	NC - Percentagem (Anterior)	NC - Percentagem (Corrente)	ND - Votos (Anterior)	ND - Votos (Corrente)	ND - Percentagem (Anterior)	ND - Percentagem (Corrente)	PAN - Votos (Anterior)	PAN - Votos (Corrente)	PAN - Percentagem (Anterior)	PAN - Percentagem (Corrente)	PCP-PEV - Votos (Anterior)	PCP-PEV - Votos (Corrente)	PCP-PEV - Percentagem (Anterior)	PCP-PEV - Percentagem (Corrente)	PCTP/MRPP - Votos (Anterior)	PCTP/MRPP - Votos (Corrente)	PCTP/MRPP - Percentagem (Anterior)	PCTP/MRPP - Percentagem (Corrente)	PDR - Votos (Anterior)	PDR - Votos (Corrente)	PDR - Percentagem (Anterior)	PDR - Percentagem (Corrente)	PNR - Votos (Anterior)	PNR - Votos (Corrente)	PNR - Percentagem (Anterior)	PNR - Percentagem (Corrente)	PPD/PSD - Votos (Anterior)	PPD/PSD - Votos (Corrente)	PPD/PSD - Percentagem (Anterior)	PPD/PSD - Percentagem (Corrente)	PPD/PSD.CDS-PP.PPM - Votos (Anterior)	PPD/PSD.CDS-PP.PPM - Votos (Corrente)	PPD/PSD.CDS-PP.PPM - Percentagem (Anterior)	PPD/PSD.CDS-PP.PPM - Percentagem (Corrente)	PPM.PPV/CDC - Votos (Anterior)	PPM.PPV/CDC - Votos (Corrente)	PPM.PPV/CDC - Percentagem (Anterior)	PPM.PPV/CDC - Percentagem (Corrente)	PS - Votos (Anterior)	PS - Votos (Corrente)	PS - Percentagem (Anterior)	PS - Percentagem (Corrente)	PTP - Votos (Anterior)	PTP - Votos (Corrente)	PTP - Percentagem (Anterior)	PTP - Percentagem (Corrente)	PURP - Votos (Anterior)	PURP - Votos (Corrente)	PURP - Percentagem (Anterior)	PURP - Percentagem (Corrente)	R.I.R. - Votos (Anterior)	R.I.R. - Votos (Corrente)	R.I.R. - Percentagem (Anterior)	R.I.R. - Percentagem (Corrente)	VP - Votos (Anterior)	VP - Votos (Corrente)	VP - Percentagem (Anterior)	VP - Percentagem (Corrente)
LOCAL-170314	Vila Real	Chaves	Lama de Arcos	391	388	0.3069	0.4433	5	5	5	5	3	0	0.0250	0.0000	0	2	0.0000	0.0116	3	4	0.0250	0.0233	1	0	0.0083	0.0000	0	9	0.0000	0.0523	0	0	0.0000	0.0000	0	7	0.0000	0.0407	0	3	0.0000	0.0174	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0083	0.0000	1	2	0.0083	0.0116	0	0	0.0000	0.0000	2	0	0.0167	0.0000	0	0	0.0000	0.0000	45	0	0.3750	0.0000	0	58	0.0000	0.3372	1	0	0.0083	0.0000	51	76	0.4250	0.4419	1	0	0.0083	0.0000	1	0	0.0083	0.0000	0	1	0.0000	0.0058	0	0	0.0000	0.0000
LOCAL-170316	Vila Real	Chaves	Mairos	349	305	0.3668	0.4492	4	3	4	1	1	0	0.0078	0.0000	0	3	0.0000	0.0219	1	3	0.0078	0.0219	3	0	0.0234	0.0000	0	14	0.0000	0.1022	0	1	0.0000	0.0073	0	4	0.0000	0.0292	0	2	0.0000	0.0146	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0078	0.0000	0	1	0.0000	0.0073	4	1	0.0313	0.0073	1	1	0.0078	0.0073	1	0	0.0078	0.0000	0	0	0.0000	0.0000	1	0	0.0078	0.0000	57	0	0.4453	0.0000	0	60	0.0000	0.4380	0	0	0.0000	0.0000	50	42	0.3906	0.3066	0	1	0.0000	0.0073	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170317	Vila Real	Chaves	Moreiras	289	265	0.2734	0.3547	1	3	1	1	1	0	0.0127	0.0000	0	5	0.0000	0.0532	5	1	0.0633	0.0106	7	0	0.0886	0.0000	0	6	0.0000	0.0638	0	0	0.0000	0.0000	0	9	0.0000	0.0957	0	1	0.0000	0.0106	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	36	0	0.4557	0.0000	0	49	0.0000	0.5213	1	0	0.0127	0.0000	26	19	0.3291	0.2021	0	0	0.0000	0.0000	1	0	0.0127	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170318	Vila Real	Chaves	Nogueira da Montanha	716	655	0.2277	0.2794	4	0	2	1	3	0	0.0184	0.0000	0	7	0.0000	0.0383	2	1	0.0123	0.0055	5	0	0.0307	0.0000	0	13	0.0000	0.0710	0	0	0.0000	0.0000	0	1	0.0000	0.0055	0	2	0.0000	0.0109	0	5	0.0000	0.0273	0	0	0.0000	0.0000	1	0	0.0061	0.0000	0	3	0.0000	0.0164	1	2	0.0061	0.0109	0	0	0.0000	0.0000	1	0	0.0061	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	96	0	0.5890	0.0000	0	118	0.0000	0.6448	2	0	0.0123	0.0000	44	28	0.2699	0.1530	2	2	0.0123	0.0109	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170320	Vila Real	Chaves	Oura	629	586	0.2305	0.3259	5	1	5	1	1	0	0.0069	0.0000	0	4	0.0000	0.0209	4	2	0.0276	0.0105	15	0	0.1034	0.0000	0	25	0.0000	0.1309	0	1	0.0000	0.0052	0	4	0.0000	0.0209	1	4	0.0069	0.0209	0	1	0.0000	0.0052	0	0	0.0000	0.0000	0	2	0.0000	0.0105	0	0	0.0000	0.0000	2	1	0.0138	0.0052	3	1	0.0207	0.0052	1	0	0.0069	0.0000	0	0	0.0000	0.0000	1	0	0.0069	0.0000	51	0	0.3517	0.0000	0	87	0.0000	0.4555	1	0	0.0069	0.0000	51	56	0.3517	0.2932	3	0	0.0207	0.0000	1	0	0.0069	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0052
LOCAL-170321	Vila Real	Chaves	Outeiro Seco	884	892	0.2783	0.3744	12	1	7	4	6	0	0.0244	0.0000	0	6	0.0000	0.0180	20	9	0.0813	0.0269	12	0	0.0488	0.0000	0	26	0.0000	0.0778	0	0	0.0000	0.0000	0	7	0.0000	0.0210	0	6	0.0000	0.0180	0	1	0.0000	0.0030	0	0	0.0000	0.0000	4	2	0.0163	0.0060	0	1	0.0000	0.0030	7	4	0.0285	0.0120	8	13	0.0325	0.0389	2	0	0.0081	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	59	0	0.2398	0.0000	0	119	0.0000	0.3563	2	0	0.0081	0.0000	105	135	0.4268	0.4042	1	0	0.0041	0.0000	1	0	0.0041	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170322	Vila Real	Chaves	Paradela	284	238	0.2958	0.4916	4	0	5	1	1	0	0.0119	0.0000	0	0	0.0000	0.0000	2	1	0.0238	0.0085	5	0	0.0595	0.0000	0	17	0.0000	0.1453	0	0	0.0000	0.0000	0	2	0.0000	0.0171	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0085	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0085	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	37	0	0.4405	0.0000	0	59	0.0000	0.5043	2	0	0.0238	0.0000	27	34	0.3214	0.2906	1	0	0.0119	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0085
LOCAL-170324	Vila Real	Chaves	Redondelo	595	575	0.2639	0.3635	8	1	8	1	0	0	0.0000	0.0000	0	6	0.0000	0.0287	4	6	0.0255	0.0287	5	0	0.0318	0.0000	0	24	0.0000	0.1148	0	1	0.0000	0.0048	0	8	0.0000	0.0383	2	8	0.0127	0.0383	0	1	0.0000	0.0048	0	0	0.0000	0.0000	2	0	0.0127	0.0000	0	1	0.0000	0.0048	0	2	0.0000	0.0096	1	2	0.0064	0.0096	1	0	0.0064	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	38	0	0.2420	0.0000	0	57	0.0000	0.2727	4	0	0.0255	0.0000	84	89	0.5350	0.4258	0	1	0.0000	0.0048	0	0	0.0000	0.0000	0	1	0.0000	0.0048	0	0	0.0000	0.0000
LOCAL-170327	Vila Real	Chaves	Sanfins	317	285	0.2177	0.2947	1	3	0	1	0	0	0.0000	0.0000	0	4	0.0000	0.0476	3	2	0.0435	0.0238	4	0	0.0580	0.0000	0	16	0.0000	0.1905	0	0	0.0000	0.0000	0	2	0.0000	0.0238	0	0	0.0000	0.0000	0	1	0.0000	0.0119	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	2	0.0000	0.0238	5	1	0.0725	0.0119	0	2	0.0000	0.0238	2	0	0.0290	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	39	0	0.5652	0.0000	0	40	0.0000	0.4762	0	0	0.0000	0.0000	15	9	0.2174	0.1071	0	1	0.0000	0.0119	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170329	Vila Real	Chaves	Santa Leocádia	375	337	0.1893	0.3294	0	2	0	2	0	0	0.0000	0.0000	0	5	0.0000	0.0450	0	5	0.0000	0.0450	2	0	0.0282	0.0000	0	7	0.0000	0.0631	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0090	0	1	0.0000	0.0090	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0090	3	2	0.0423	0.0180	1	2	0.0141	0.0180	1	0	0.0141	0.0000	1	0	0.0141	0.0000	2	0	0.0282	0.0000	40	0	0.5634	0.0000	0	44	0.0000	0.3964	0	0	0.0000	0.0000	21	39	0.2958	0.3514	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170330	Vila Real	Chaves	Santo António de Monforte	495	471	0.3455	0.4204	14	7	6	3	2	0	0.0117	0.0000	0	5	0.0000	0.0253	5	2	0.0292	0.0101	10	0	0.0585	0.0000	0	19	0.0000	0.0960	0	1	0.0000	0.0051	0	3	0.0000	0.0152	3	4	0.0175	0.0202	0	1	0.0000	0.0051	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	2	0	0.0117	0.0000	5	4	0.0292	0.0202	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0058	0.0000	61	0	0.3567	0.0000	0	73	0.0000	0.3687	1	0	0.0058	0.0000	58	76	0.3392	0.3838	3	0	0.0175	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170331	Vila Real	Chaves	Santo Estêvão	663	630	0.2051	0.2968	1	1	8	1	0	0	0.0000	0.0000	0	7	0.0000	0.0374	3	1	0.0221	0.0053	11	0	0.0809	0.0000	0	35	0.0000	0.1872	0	0	0.0000	0.0000	1	5	0.0074	0.0267	0	0	0.0000	0.0000	0	1	0.0000	0.0053	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	2	0.0000	0.0107	6	1	0.0441	0.0053	2	2	0.0147	0.0107	2	0	0.0147	0.0000	1	0	0.0074	0.0000	4	0	0.0294	0.0000	44	0	0.3235	0.0000	0	72	0.0000	0.3850	0	0	0.0000	0.0000	53	59	0.3897	0.3155	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170333	Vila Real	Chaves	São Pedro de Agostém	1582	1507	0.2320	0.2827	10	5	16	7	7	0	0.0191	0.0000	0	7	0.0000	0.0164	21	10	0.0572	0.0235	12	0	0.0327	0.0000	0	62	0.0000	0.1455	0	0	0.0000	0.0000	3	10	0.0082	0.0235	0	4	0.0000	0.0094	1	1	0.0027	0.0023	0	2	0.0000	0.0047	2	0	0.0054	0.0000	0	1	0.0000	0.0023	11	3	0.0300	0.0070	4	3	0.0109	0.0070	1	0	0.0027	0.0000	4	0	0.0109	0.0000	0	0	0.0000	0.0000	128	0	0.3488	0.0000	0	172	0.0000	0.4038	2	0	0.0054	0.0000	145	137	0.3951	0.3216	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	2	0.0000	0.0047	0	0	0.0000	0.0000
LOCAL-170334	Vila Real	Chaves	São Vicente	298	265	0.3289	0.4906	1	0	2	3	0	0	0.0000	0.0000	0	3	0.0000	0.0231	2	5	0.0204	0.0385	30	0	0.3061	0.0000	0	8	0.0000	0.0615	0	0	0.0000	0.0000	0	6	0.0000	0.0462	0	6	0.0000	0.0462	0	0	0.0000	0.0000	0	1	0.0000	0.0077	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0102	0.0000	1	1	0.0102	0.0077	1	0	0.0102	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	31	0	0.3163	0.0000	0	55	0.0000	0.4231	0	0	0.0000	0.0000	28	42	0.2857	0.3231	0	0	0.0000	0.0000	1	0	0.0102	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170340	Vila Real	Chaves	Tronco	304	290	0.2105	0.4000	7	0	1	1	0	0	0.0000	0.0000	0	2	0.0000	0.0172	1	0	0.0156	0.0000	1	0	0.0156	0.0000	0	22	0.0000	0.1897	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0086	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0086	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0156	0.0000	27	0	0.4219	0.0000	0	52	0.0000	0.4483	1	0	0.0156	0.0000	25	36	0.3906	0.3103	0	1	0.0000	0.0086	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170341	Vila Real	Chaves	Vale de Anta	1392	1537	0.3254	0.4021	14	8	22	7	5	0	0.0110	0.0000	0	10	0.0000	0.0162	61	20	0.1347	0.0324	16	0	0.0353	0.0000	0	106	0.0000	0.1715	0	1	0.0000	0.0016	4	31	0.0088	0.0502	4	15	0.0088	0.0243	0	1	0.0000	0.0016	0	0	0.0000	0.0000	1	1	0.0022	0.0016	0	2	0.0000	0.0032	15	6	0.0331	0.0097	16	15	0.0353	0.0243	5	0	0.0110	0.0000	5	0	0.0110	0.0000	3	0	0.0066	0.0000	138	0	0.3046	0.0000	0	201	0.0000	0.3252	12	0	0.0265	0.0000	130	193	0.2870	0.3123	1	0	0.0022	0.0000	1	0	0.0022	0.0000	0	1	0.0000	0.0016	0	0	0.0000	0.0000
LOCAL-170343	Vila Real	Chaves	Vila Verde da Raia	919	899	0.2372	0.3048	10	2	11	2	8	0	0.0367	0.0000	0	4	0.0000	0.0146	17	7	0.0780	0.0255	12	0	0.0550	0.0000	0	35	0.0000	0.1277	0	0	0.0000	0.0000	0	4	0.0000	0.0146	0	2	0.0000	0.0073	0	0	0.0000	0.0000	0	0	0.0000	0.0000	2	0	0.0092	0.0000	0	2	0.0000	0.0073	3	3	0.0138	0.0109	2	7	0.0092	0.0255	5	0	0.0229	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	90	0	0.4128	0.0000	0	135	0.0000	0.4927	1	0	0.0046	0.0000	57	69	0.2615	0.2518	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0036	0	1	0.0000	0.0036
LOCAL-170344	Vila Real	Chaves	Vilar de Nantes	1912	1881	0.2620	0.3365	23	10	25	4	4	0	0.0080	0.0000	0	3	0.0000	0.0047	37	13	0.0739	0.0205	33	0	0.0659	0.0000	0	72	0.0000	0.1137	0	2	0.0000	0.0032	3	33	0.0060	0.0521	6	14	0.0120	0.0221	3	0	0.0060	0.0000	0	0	0.0000	0.0000	3	1	0.0060	0.0016	0	2	0.0000	0.0032	15	6	0.0299	0.0095	14	6	0.0279	0.0095	4	0	0.0080	0.0000	1	0	0.0020	0.0000	2	0	0.0040	0.0000	124	0	0.2475	0.0000	0	232	0.0000	0.3665	11	0	0.0220	0.0000	191	233	0.3812	0.3681	0	0	0.0000	0.0000	2	0	0.0040	0.0000	0	2	0.0000	0.0032	0	0	0.0000	0.0000
LOCAL-170345	Vila Real	Chaves	Vilarelho da Raia	669	687	0.2377	0.3348	3	1	7	2	2	0	0.0126	0.0000	0	2	0.0000	0.0087	2	1	0.0126	0.0043	6	0	0.0377	0.0000	0	29	0.0000	0.1261	0	0	0.0000	0.0000	0	8	0.0000	0.0348	1	1	0.0063	0.0043	0	0	0.0000	0.0000	0	1	0.0000	0.0043	0	0	0.0000	0.0000	0	2	0.0000	0.0087	4	1	0.0252	0.0043	1	3	0.0063	0.0130	1	0	0.0063	0.0000	1	0	0.0063	0.0000	0	0	0.0000	0.0000	70	0	0.4403	0.0000	0	99	0.0000	0.4304	1	0	0.0063	0.0000	60	79	0.3774	0.3435	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0043
LOCAL-170347	Vila Real	Chaves	Vilas Boas	246	226	0.2276	0.3053	1	0	2	0	0	0	0.0000	0.0000	0	1	0.0000	0.0145	0	1	0.0000	0.0145	5	0	0.0893	0.0000	0	10	0.0000	0.1449	0	0	0.0000	0.0000	0	1	0.0000	0.0145	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	2	0	0.0357	0.0000	3	2	0.0536	0.0290	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	31	0	0.5536	0.0000	0	35	0.0000	0.5072	1	0	0.0179	0.0000	11	19	0.1964	0.2754	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170348	Vila Real	Chaves	Vilela Seca	366	311	0.2814	0.3215	1	0	7	2	0	0	0.0000	0.0000	0	3	0.0000	0.0300	5	3	0.0485	0.0300	0	0	0.0000	0.0000	0	13	0.0000	0.1300	0	0	0.0000	0.0000	0	4	0.0000	0.0400	0	1	0.0000	0.0100	0	1	0.0000	0.0100	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	1	0.0097	0.0100	3	0	0.0291	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	39	0	0.3786	0.0000	0	37	0.0000	0.3700	4	0	0.0388	0.0000	43	35	0.4175	0.3500	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170349	Vila Real	Chaves	Vilela do Tâmega	416	410	0.2668	0.3732	3	7	5	2	0	0	0.0000	0.0000	0	3	0.0000	0.0196	5	4	0.0450	0.0261	9	0	0.0811	0.0000	0	18	0.0000	0.1176	0	0	0.0000	0.0000	1	7	0.0090	0.0458	2	3	0.0180	0.0196	0	1	0.0000	0.0065	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0065	1	0	0.0090	0.0000	2	3	0.0180	0.0196	0	0	0.0000	0.0000	1	0	0.0090	0.0000	0	0	0.0000	0.0000	40	0	0.3604	0.0000	0	61	0.0000	0.3987	2	0	0.0180	0.0000	40	40	0.3604	0.2614	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0065	0	2	0.0000	0.0131
LOCAL-170350	Vila Real	Chaves	Santa Maria Maior	11892	11794	0.2562	0.3360	79	33	102	43	43	0	0.0141	0.0000	0	51	0.0000	0.0129	328	111	0.1076	0.0280	143	0	0.0469	0.0000	0	421	0.0000	0.1062	0	5	0.0000	0.0013	20	250	0.0066	0.0631	38	143	0.0125	0.0361	2	3	0.0007	0.0008	0	5	0.0000	0.0013	34	8	0.0112	0.0020	0	8	0.0000	0.0020	115	25	0.0377	0.0063	129	126	0.0423	0.0318	17	0	0.0056	0.0000	10	0	0.0033	0.0000	26	0	0.0085	0.0000	872	0	0.2862	0.0000	0	1424	0.0000	0.3593	43	0	0.0141	0.0000	1026	1295	0.3367	0.3268	6	3	0.0020	0.0008	14	0	0.0046	0.0000	0	4	0.0000	0.0010	0	5	0.0000	0.0013
LOCAL-170353	Vila Real	Chaves	Planalto de Monforte (Oucidres e Bobadela)	388	348	0.2629	0.3937	1	2	2	0	3	0	0.0294	0.0000	0	6	0.0000	0.0438	1	2	0.0098	0.0146	7	0	0.0686	0.0000	0	10	0.0000	0.0730	0	0	0.0000	0.0000	0	3	0.0000	0.0219	0	2	0.0000	0.0146	0	0	0.0000	0.0000	0	1	0.0000	0.0073	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0098	0.0000	2	1	0.0196	0.0073	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	0	0.0098	0.0000	45	0	0.4412	0.0000	0	69	0.0000	0.5036	1	0	0.0098	0.0000	38	41	0.3725	0.2993	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170354	Vila Real	Chaves	Madalena e Samaiões	3035	2880	0.2643	0.3486	26	4	30	9	7	0	0.0087	0.0000	0	20	0.0000	0.0199	45	27	0.0561	0.0269	37	0	0.0461	0.0000	0	126	0.0000	0.1255	0	2	0.0000	0.0020	3	39	0.0037	0.0388	6	22	0.0075	0.0219	1	2	0.0012	0.0020	0	1	0.0000	0.0010	4	0	0.0050	0.0000	0	1	0.0000	0.0010	16	13	0.0200	0.0129	34	27	0.0424	0.0269	9	0	0.0112	0.0000	2	0	0.0025	0.0000	1	0	0.0012	0.0000	291	0	0.3628	0.0000	0	395	0.0000	0.3934	2	0	0.0025	0.0000	284	316	0.3541	0.3147	3	0	0.0037	0.0000	1	0	0.0012	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000
LOCAL-170355	Vila Real	Chaves	Eiras, São Julião de Montenegro e Cela	970	909	0.3371	0.4169	14	2	22	9	0	0	0.0000	0.0000	0	13	0.0000	0.0343	27	9	0.0826	0.0237	19	0	0.0581	0.0000	0	57	0.0000	0.1504	0	0	0.0000	0.0000	1	7	0.0031	0.0185	2	8	0.0061	0.0211	0	1	0.0000	0.0026	0	1	0.0000	0.0026	3	0	0.0092	0.0000	0	2	0.0000	0.0053	1	1	0.0031	0.0026	2	2	0.0061	0.0053	1	0	0.0031	0.0000	4	0	0.0122	0.0000	1	0	0.0031	0.0000	141	0	0.4312	0.0000	0	167	0.0000	0.4406	1	0	0.0031	0.0000	87	98	0.2661	0.2586	1	1	0.0031	0.0026	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0026
LOCAL-170356	Vila Real	Chaves	Calvão e Soutelinho da Raia	755	686	0.2358	0.3222	6	4	5	1	1	0	0.0056	0.0000	0	8	0.0000	0.0362	9	7	0.0506	0.0317	10	0	0.0562	0.0000	0	23	0.0000	0.1041	0	2	0.0000	0.0090	0	7	0.0000	0.0317	1	3	0.0056	0.0136	0	1	0.0000	0.0045	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	3	3	0.0169	0.0136	3	2	0.0169	0.0090	0	0	0.0000	0.0000	3	0	0.0169	0.0000	1	0	0.0056	0.0000	62	0	0.3483	0.0000	0	69	0.0000	0.3122	1	0	0.0056	0.0000	73	87	0.4101	0.3937	0	2	0.0000	0.0090	0	0	0.0000	0.0000	0	1	0.0000	0.0045	0	1	0.0000	0.0045
LOCAL-170357	Vila Real	Chaves	Loivos e Póvoa de Agrações	887	754	0.2390	0.3554	12	2	7	4	0	0	0.0000	0.0000	0	4	0.0000	0.0149	2	4	0.0094	0.0149	14	0	0.0660	0.0000	0	41	0.0000	0.1530	0	0	0.0000	0.0000	0	7	0.0000	0.0261	1	4	0.0047	0.0149	0	1	0.0000	0.0037	0	0	0.0000	0.0000	1	2	0.0047	0.0075	0	1	0.0000	0.0037	7	1	0.0330	0.0037	1	3	0.0047	0.0112	1	0	0.0047	0.0000	0	0	0.0000	0.0000	1	0	0.0047	0.0000	91	0	0.4292	0.0000	0	114	0.0000	0.4254	1	0	0.0047	0.0000	72	77	0.3396	0.2873	1	1	0.0047	0.0037	0	0	0.0000	0.0000	0	1	0.0000	0.0037	0	1	0.0000	0.0037
LOCAL-170358	Vila Real	Chaves	Santa Cruz/Trindade e Sanjurge	3730	3733	0.2378	0.3123	37	10	47	15	13	0	0.0147	0.0000	0	14	0.0000	0.0120	60	27	0.0676	0.0232	30	0	0.0338	0.0000	0	162	0.0000	0.1389	0	2	0.0000	0.0017	4	79	0.0045	0.0678	6	18	0.0068	0.0154	0	0	0.0000	0.0000	0	0	0.0000	0.0000	10	2	0.0113	0.0017	0	5	0.0000	0.0043	38	12	0.0428	0.0103	28	18	0.0316	0.0154	3	0	0.0034	0.0000	10	0	0.0113	0.0000	3	0	0.0034	0.0000	280	0	0.3157	0.0000	0	438	0.0000	0.3756	10	0	0.0113	0.0000	307	362	0.3461	0.3105	0	1	0.0000	0.0009	1	0	0.0011	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0009
LOCAL-170359	Vila Real	Chaves	Soutelo e Seara Velha	691	629	0.3256	0.4213	8	8	11	3	0	0	0.0000	0.0000	0	8	0.0000	0.0302	11	4	0.0489	0.0151	5	0	0.0222	0.0000	0	23	0.0000	0.0868	0	0	0.0000	0.0000	0	10	0.0000	0.0377	3	7	0.0133	0.0264	0	1	0.0000	0.0038	0	0	0.0000	0.0000	1	0	0.0044	0.0000	0	1	0.0000	0.0038	4	1	0.0178	0.0038	1	3	0.0044	0.0113	1	0	0.0044	0.0000	1	0	0.0044	0.0000	0	0	0.0000	0.0000	101	0	0.4489	0.0000	0	131	0.0000	0.4943	1	0	0.0044	0.0000	76	63	0.3378	0.2377	1	0	0.0044	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	2	0.0000	0.0075
