Key	Distrito	Municipio	Freguesia	Eleitores (Anterior)	Eleitores (Corrente)	Percentagem de Votantes (Anterior)	Percentagem de Votantes (Corrente)	Votos Nulos (Anterior)	Votos Nulos (Corrente)	Votos Brancos (Anterior)	Votos Brancos (Corrente)	ADN - Votos (Anterior)	ADN - Votos (Corrente)	ADN - Percentagem (Anterior)	ADN - Percentagem (Corrente)	B.E. - Votos (Anterior)	B.E. - Votos (Corrente)	B.E. - Percentagem (Anterior)	B.E. - Percentagem (Corrente)	CH - Votos (Anterior)	CH - Votos (Corrente)	CH - Percentagem (Anterior)	CH - Percentagem (Corrente)	E - Votos (Anterior)	E - Votos (Corrente)	E - Percentagem (Anterior)	E - Percentagem (Corrente)	IL - Votos (Anterior)	IL - Votos (Corrente)	IL - Percentagem (Anterior)	IL - Percentagem (Corrente)	JPP - Votos (Anterior)	JPP - Votos (Corrente)	JPP - Percentagem (Anterior)	JPP - Percentagem (Corrente)	L - Votos (Anterior)	L - Votos (Corrente)	L - Percentagem (Anterior)	L - Percentagem (Corrente)	MPT - Votos (Anterior)	MPT - Votos (Corrente)	MPT - Percentagem (Anterior)	MPT - Percentagem (Corrente)	MPT.A - Votos (Anterior)	MPT.A - Votos (Corrente)	MPT.A - Percentagem (Anterior)	MPT.A - Percentagem (Corrente)	NC - Votos (Anterior)	NC - Votos (Corrente)	NC - Percentagem (Anterior)	NC - Percentagem (Corrente)	ND - Votos (Anterior)	ND - Votos (Corrente)	ND - Percentagem (Anterior)	ND - Percentagem (Corrente)	PAN - Votos (Anterior)	PAN - Votos (Corrente)	PAN - Percentagem (Anterior)	PAN - Percentagem (Corrente)	PCP-PEV - Votos (Anterior)	PCP-PEV - Votos (Corrente)	PCP-PEV - Percentagem (Anterior)	PCP-PEV - Percentagem (Corrente)	PCTP/MRPP - Votos (Anterior)	PCTP/MRPP - Votos (Corrente)	PCTP/MRPP - Percentagem (Anterior)	PCTP/MRPP - Percentagem (Corrente)	PLS - Votos (Anterior)	PLS - Votos (Corrente)	PLS - Percentagem (Anterior)	PLS - Percentagem (Corrente)	PPD/PSD.CDS-PP - Votos (Anterior)	PPD/PSD.CDS-PP - Votos (Corrente)	PPD/PSD.CDS-PP - Percentagem (Anterior)	PPD/PSD.CDS-PP - Percentagem (Corrente)	PPD/PSD.CDS-PP.PPM - Votos (Anterior)	PPD/PSD.CDS-PP.PPM - Votos (Corrente)	PPD/PSD.CDS-PP.PPM - Percentagem (Anterior)	PPD/PSD.CDS-PP.PPM - Percentagem (Corrente)	PPM - Votos (Anterior)	PPM - Votos (Corrente)	PPM - Percentagem (Anterior)	PPM - Percentagem (Corrente)	PS - Votos (Anterior)	PS - Votos (Corrente)	PS - Percentagem (Anterior)	PS - Percentagem (Corrente)	PTP - Votos (Anterior)	PTP - Votos (Corrente)	PTP - Percentagem (Anterior)	PTP - Percentagem (Corrente)	R.I.R. - Votos (Anterior)	R.I.R. - Votos (Corrente)	R.I.R. - Percentagem (Anterior)	R.I.R. - Percentagem (Corrente)	VP - Votos (Anterior)	VP - Votos (Corrente)	VP - Percentagem (Anterior)	VP - Percentagem (Corrente)
LOCAL-101002	Leiria	Marinha Grande	Vieira de Leiria	5083	5062	0.6042	0.5952	62	38	79	55	42	49	0.0137	0.0163	186	88	0.0606	0.0292	638	787	0.2077	0.2612	6	6	0.0020	0.0020	153	157	0.0498	0.0521	0	0	0.0000	0.0000	83	122	0.0270	0.0405	0	0	0.0000	0.0000	1	0	0.0003	0.0000	0	0	0.0000	0.0000	10	7	0.0033	0.0023	71	44	0.0231	0.0146	158	132	0.0514	0.0438	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	715	0.0000	0.2373	623	0	0.2029	0.0000	0	4	0.0000	0.0013	942	785	0.3067	0.2605	0	0	0.0000	0.0000	10	14	0.0033	0.0046	7	10	0.0023	0.0033
LOCAL-101003	Leiria	Marinha Grande	Moita	1230	1214	0.7049	0.7018	11	7	15	9	7	7	0.0081	0.0082	53	35	0.0611	0.0411	192	256	0.2215	0.3005	2	1	0.0023	0.0012	37	37	0.0427	0.0434	0	0	0.0000	0.0000	34	34	0.0392	0.0399	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	1	0.0012	0.0012	18	7	0.0208	0.0082	89	75	0.1027	0.0880	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	133	0.0000	0.1561	123	0	0.1419	0.0000	0	0	0.0000	0.0000	281	248	0.3241	0.2911	0	0	0.0000	0.0000	4	2	0.0046	0.0023	0	0	0.0000	0.0000
LOCAL-101101	Leiria	Nazaré	Famalicão	1527	1538	0.6693	0.6638	15	17	14	15	14	9	0.0137	0.0088	54	19	0.0528	0.0186	220	281	0.2153	0.2752	0	1	0.0000	0.0010	34	44	0.0333	0.0431	0	0	0.0000	0.0000	31	42	0.0303	0.0411	0	0	0.0000	0.0000	4	0	0.0039	0.0000	0	0	0.0000	0.0000	3	2	0.0029	0.0020	22	15	0.0215	0.0147	23	14	0.0225	0.0137	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	298	0.0000	0.2919	290	0	0.2838	0.0000	0	0	0.0000	0.0000	290	256	0.2838	0.2507	0	0	0.0000	0.0000	5	3	0.0049	0.0029	3	5	0.0029	0.0049
LOCAL-101102	Leiria	Nazaré	Nazaré	9897	9804	0.5355	0.5225	56	46	74	80	87	85	0.0164	0.0166	310	142	0.0585	0.0277	1062	1476	0.2004	0.2881	6	5	0.0011	0.0010	208	228	0.0392	0.0445	0	0	0.0000	0.0000	138	177	0.0260	0.0346	0	0	0.0000	0.0000	5	0	0.0009	0.0000	0	0	0.0000	0.0000	14	10	0.0026	0.0020	117	78	0.0221	0.0152	218	180	0.0411	0.0351	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1312	0.0000	0.2561	1351	0	0.2549	0.0000	0	7	0.0000	0.0014	1630	1285	0.3075	0.2508	0	0	0.0000	0.0000	16	6	0.0030	0.0012	8	6	0.0015	0.0012
LOCAL-101103	Leiria	Nazaré	Valado dos Frades	2677	2652	0.5996	0.5784	15	13	25	34	13	20	0.0081	0.0130	141	53	0.0879	0.0346	292	354	0.1819	0.2308	3	3	0.0019	0.0020	78	60	0.0486	0.0391	0	0	0.0000	0.0000	44	50	0.0274	0.0326	0	0	0.0000	0.0000	3	0	0.0019	0.0000	0	0	0.0000	0.0000	2	2	0.0012	0.0013	17	20	0.0106	0.0130	154	127	0.0960	0.0828	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	381	0.0000	0.2484	353	0	0.2199	0.0000	0	1	0.0000	0.0007	452	409	0.2816	0.2666	0	0	0.0000	0.0000	12	5	0.0075	0.0033	1	2	0.0006	0.0013
LOCAL-101201	Leiria	Óbidos	A dos Negros	1342	1357	0.6766	0.6728	10	17	14	12	14	19	0.0154	0.0208	38	21	0.0419	0.0230	161	215	0.1773	0.2355	0	0	0.0000	0.0000	42	37	0.0463	0.0405	0	0	0.0000	0.0000	24	33	0.0264	0.0361	0	0	0.0000	0.0000	2	0	0.0022	0.0000	0	0	0.0000	0.0000	5	2	0.0055	0.0022	17	16	0.0187	0.0175	28	23	0.0308	0.0252	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	275	0.0000	0.3012	253	0	0.2786	0.0000	0	3	0.0000	0.0033	289	235	0.3183	0.2574	0	0	0.0000	0.0000	8	3	0.0088	0.0033	3	2	0.0033	0.0022
LOCAL-101202	Leiria	Óbidos	Amoreira	917	934	0.6172	0.5942	8	15	16	8	5	12	0.0088	0.0216	28	10	0.0495	0.0180	109	132	0.1926	0.2378	0	0	0.0000	0.0000	26	37	0.0459	0.0667	0	0	0.0000	0.0000	11	25	0.0194	0.0450	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1	0.0000	0.0018	7	5	0.0124	0.0090	19	14	0.0336	0.0252	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	182	0.0000	0.3279	177	0	0.3127	0.0000	0	0	0.0000	0.0000	156	112	0.2756	0.2018	0	0	0.0000	0.0000	3	1	0.0053	0.0018	1	1	0.0018	0.0018
LOCAL-101203	Leiria	Óbidos	Olho Marinho	1187	1184	0.6192	0.5861	18	9	16	9	5	13	0.0068	0.0187	19	11	0.0259	0.0159	179	200	0.2435	0.2882	2	2	0.0027	0.0029	36	38	0.0490	0.0548	0	0	0.0000	0.0000	9	25	0.0122	0.0360	0	0	0.0000	0.0000	1	0	0.0014	0.0000	0	0	0.0000	0.0000	2	2	0.0027	0.0029	11	9	0.0150	0.0130	47	42	0.0639	0.0605	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	209	0.0000	0.3012	219	0	0.2980	0.0000	0	2	0.0000	0.0029	163	118	0.2218	0.1700	0	0	0.0000	0.0000	6	3	0.0082	0.0043	2	2	0.0027	0.0029
LOCAL-101207	Leiria	Óbidos	Vau	893	906	0.6529	0.6192	7	5	17	15	4	19	0.0069	0.0339	12	4	0.0206	0.0071	137	146	0.2350	0.2602	0	0	0.0000	0.0000	27	29	0.0463	0.0517	0	0	0.0000	0.0000	11	13	0.0189	0.0232	0	0	0.0000	0.0000	1	0	0.0017	0.0000	0	0	0.0000	0.0000	3	1	0.0051	0.0018	10	5	0.0172	0.0089	11	6	0.0189	0.0107	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	212	0.0000	0.3779	211	0	0.3619	0.0000	0	0	0.0000	0.0000	131	103	0.2247	0.1836	0	0	0.0000	0.0000	0	2	0.0000	0.0036	1	1	0.0017	0.0018
LOCAL-101208	Leiria	Óbidos	Gaeiras	2094	2120	0.7498	0.7255	13	15	33	23	27	28	0.0172	0.0182	77	28	0.0490	0.0182	265	333	0.1688	0.2165	0	4	0.0000	0.0026	96	101	0.0611	0.0657	0	0	0.0000	0.0000	47	77	0.0299	0.0501	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	2	3	0.0013	0.0020	26	22	0.0166	0.0143	28	25	0.0178	0.0163	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	470	0.0000	0.3056	467	0	0.2975	0.0000	0	1	0.0000	0.0007	480	400	0.3057	0.2601	0	0	0.0000	0.0000	4	5	0.0025	0.0033	5	3	0.0032	0.0020
LOCAL-101209	Leiria	Óbidos	Usseira	801	791	0.6779	0.6662	4	1	15	10	7	6	0.0129	0.0114	17	6	0.0313	0.0114	133	156	0.2449	0.2960	2	2	0.0037	0.0038	22	20	0.0405	0.0380	0	0	0.0000	0.0000	6	7	0.0110	0.0133	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	2	0	0.0037	0.0000	6	6	0.0110	0.0114	5	4	0.0092	0.0076	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	231	0.0000	0.4383	238	0	0.4383	0.0000	0	0	0.0000	0.0000	80	76	0.1473	0.1442	0	0	0.0000	0.0000	2	1	0.0037	0.0019	4	1	0.0074	0.0019
LOCAL-101210	Leiria	Óbidos	Santa Maria, São Pedro e Sobral da Lagoa	3480	3495	0.6690	0.6406	17	28	45	35	28	40	0.0120	0.0179	98	41	0.0421	0.0183	454	547	0.1950	0.2443	4	1	0.0017	0.0004	140	144	0.0601	0.0643	0	0	0.0000	0.0000	72	83	0.0309	0.0371	0	0	0.0000	0.0000	2	0	0.0009	0.0000	0	0	0.0000	0.0000	6	5	0.0026	0.0022	38	31	0.0163	0.0138	51	42	0.0219	0.0188	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	743	0.0000	0.3318	773	0	0.3320	0.0000	0	1	0.0000	0.0004	591	489	0.2539	0.2184	0	0	0.0000	0.0000	6	4	0.0026	0.0018	3	5	0.0013	0.0022
LOCAL-101301	Leiria	Pedrógão Grande	Graça	579	563	0.5406	0.5009	6	4	7	3	4	7	0.0128	0.0248	5	2	0.0160	0.0071	51	62	0.1629	0.2199	0	0	0.0000	0.0000	9	6	0.0288	0.0213	0	0	0.0000	0.0000	0	1	0.0000	0.0035	0	0	0.0000	0.0000	1	0	0.0032	0.0000	0	0	0.0000	0.0000	0	3	0.0000	0.0106	4	3	0.0128	0.0106	4	2	0.0128	0.0071	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	138	0.0000	0.4894	144	0	0.4601	0.0000	0	1	0.0000	0.0035	74	50	0.2364	0.1773	0	0	0.0000	0.0000	3	0	0.0096	0.0000	1	0	0.0032	0.0000
LOCAL-101302	Leiria	Pedrógão Grande	Pedrógão Grande	1977	1955	0.6459	0.6189	14	12	22	26	26	26	0.0204	0.0215	41	14	0.0321	0.0116	221	231	0.1731	0.1909	1	1	0.0008	0.0008	37	31	0.0290	0.0256	0	0	0.0000	0.0000	13	13	0.0102	0.0107	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	8	0.0008	0.0066	7	9	0.0055	0.0074	9	4	0.0070	0.0033	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	578	0.0000	0.4777	520	0	0.4072	0.0000	0	1	0.0000	0.0008	359	251	0.2811	0.2074	0	0	0.0000	0.0000	5	3	0.0039	0.0025	1	2	0.0008	0.0017
LOCAL-101303	Leiria	Pedrógão Grande	Vila Facaia	453	445	0.7219	0.6944	5	7	7	5	6	12	0.0183	0.0388	17	5	0.0520	0.0162	53	51	0.1621	0.1650	0	0	0.0000	0.0000	6	7	0.0183	0.0227	0	0	0.0000	0.0000	3	4	0.0092	0.0129	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	1	1	0.0031	0.0032	2	3	0.0061	0.0097	7	2	0.0214	0.0065	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	142	0.0000	0.4595	130	0	0.3976	0.0000	0	0	0.0000	0.0000	86	67	0.2630	0.2168	0	0	0.0000	0.0000	4	1	0.0122	0.0032	0	2	0.0000	0.0065
LOCAL-101402	Leiria	Peniche	Atouguia da Baleia	8329	8395	0.6605	0.6384	66	57	109	99	94	108	0.0171	0.0202	217	117	0.0394	0.0218	1342	1502	0.2440	0.2803	6	16	0.0011	0.0030	273	307	0.0496	0.0573	0	0	0.0000	0.0000	143	190	0.0260	0.0355	0	0	0.0000	0.0000	7	0	0.0013	0.0000	0	0	0.0000	0.0000	11	12	0.0020	0.0022	121	69	0.0220	0.0129	139	118	0.0253	0.0220	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1719	0.0000	0.3208	1636	0	0.2974	0.0000	0	8	0.0000	0.0015	1291	1015	0.2347	0.1894	0	0	0.0000	0.0000	34	17	0.0062	0.0032	12	5	0.0022	0.0009
LOCAL-101405	Leiria	Peniche	Serra d'El-Rei	1215	1213	0.6650	0.6381	16	9	23	28	11	20	0.0136	0.0258	25	12	0.0309	0.0155	182	228	0.2252	0.2946	1	2	0.0012	0.0026	41	54	0.0507	0.0698	0	0	0.0000	0.0000	22	29	0.0272	0.0375	0	0	0.0000	0.0000	1	0	0.0012	0.0000	0	0	0.0000	0.0000	4	0	0.0050	0.0000	17	9	0.0210	0.0116	39	25	0.0483	0.0323	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	197	0.0000	0.2545	207	0	0.2562	0.0000	0	2	0.0000	0.0026	213	153	0.2636	0.1977	0	0	0.0000	0.0000	6	4	0.0074	0.0052	0	2	0.0000	0.0026
LOCAL-101406	Leiria	Peniche	Ferrel	2572	2547	0.6104	0.5807	11	16	35	29	28	31	0.0178	0.0210	59	27	0.0376	0.0183	365	429	0.2325	0.2901	0	1	0.0000	0.0007	94	90	0.0599	0.0609	0	0	0.0000	0.0000	49	52	0.0312	0.0352	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	2	8	0.0013	0.0054	27	14	0.0172	0.0095	54	32	0.0344	0.0216	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	390	0.0000	0.2637	359	0	0.2287	0.0000	0	1	0.0000	0.0007	472	342	0.3006	0.2312	0	0	0.0000	0.0000	11	7	0.0070	0.0047	4	10	0.0025	0.0068
LOCAL-101407	Leiria	Peniche	Peniche	12152	12092	0.5681	0.5678	70	59	124	99	82	104	0.0119	0.0151	325	155	0.0471	0.0226	1606	2231	0.2327	0.3249	11	45	0.0016	0.0066	299	287	0.0433	0.0418	0	0	0.0000	0.0000	195	243	0.0282	0.0354	0	0	0.0000	0.0000	5	0	0.0007	0.0000	0	0	0.0000	0.0000	9	8	0.0013	0.0012	140	113	0.0203	0.0165	409	328	0.0592	0.0478	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1590	0.0000	0.2316	1456	0	0.2109	0.0000	0	10	0.0000	0.0015	2109	1559	0.3055	0.2271	0	0	0.0000	0.0000	48	23	0.0070	0.0033	15	12	0.0022	0.0017
LOCAL-101501	Leiria	Pombal	Abiul	2388	2329	0.5021	0.4835	17	11	18	28	33	39	0.0275	0.0346	26	12	0.0217	0.0107	261	251	0.2177	0.2229	0	0	0.0000	0.0000	33	37	0.0275	0.0329	0	0	0.0000	0.0000	9	18	0.0075	0.0160	0	0	0.0000	0.0000	2	0	0.0017	0.0000	0	0	0.0000	0.0000	6	7	0.0050	0.0062	9	5	0.0075	0.0044	11	7	0.0092	0.0062	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	608	0.0000	0.5400	619	0	0.5163	0.0000	0	5	0.0000	0.0044	141	92	0.1176	0.0817	0	0	0.0000	0.0000	13	3	0.0108	0.0027	1	3	0.0008	0.0027
LOCAL-101503	Leiria	Pombal	Almagreira	2788	2757	0.5803	0.5753	14	12	37	49	31	49	0.0192	0.0309	46	25	0.0284	0.0158	345	371	0.2132	0.2339	1	0	0.0006	0.0000	85	70	0.0525	0.0441	0	0	0.0000	0.0000	26	32	0.0161	0.0202	0	0	0.0000	0.0000	2	0	0.0012	0.0000	0	0	0.0000	0.0000	6	12	0.0037	0.0076	16	14	0.0099	0.0088	11	8	0.0068	0.0050	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	711	0.0000	0.4483	697	0	0.4308	0.0000	0	5	0.0000	0.0032	292	223	0.1805	0.1406	0	0	0.0000	0.0000	9	5	0.0056	0.0032	0	0	0.0000	0.0000
LOCAL-101504	Leiria	Pombal	Carnide	1602	1601	0.6155	0.6040	9	9	18	12	27	41	0.0274	0.0424	14	5	0.0142	0.0052	246	235	0.2495	0.2430	0	1	0.0000	0.0010	44	40	0.0446	0.0414	0	0	0.0000	0.0000	8	12	0.0081	0.0124	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	4	1	0.0041	0.0010	13	4	0.0132	0.0041	7	4	0.0071	0.0041	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	547	0.0000	0.5657	517	0	0.5243	0.0000	0	0	0.0000	0.0000	75	52	0.0761	0.0538	0	0	0.0000	0.0000	4	1	0.0041	0.0010	0	3	0.0000	0.0031
LOCAL-101505	Leiria	Pombal	Carriço	3110	3093	0.6257	0.6020	37	31	45	42	44	44	0.0226	0.0236	53	22	0.0272	0.0118	437	479	0.2246	0.2573	4	3	0.0021	0.0016	110	78	0.0565	0.0419	0	0	0.0000	0.0000	27	32	0.0139	0.0172	0	0	0.0000	0.0000	5	0	0.0026	0.0000	0	0	0.0000	0.0000	8	4	0.0041	0.0021	17	13	0.0087	0.0070	16	7	0.0082	0.0038	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	804	0.0000	0.4318	738	0	0.3792	0.0000	0	3	0.0000	0.0016	386	295	0.1984	0.1584	0	0	0.0000	0.0000	16	4	0.0082	0.0021	3	1	0.0015	0.0005
LOCAL-101506	Leiria	Pombal	Louriçal	3954	3937	0.6383	0.6160	54	42	70	82	63	89	0.0250	0.0367	109	44	0.0432	0.0181	498	485	0.1973	0.2000	6	1	0.0024	0.0004	105	107	0.0416	0.0441	0	0	0.0000	0.0000	50	67	0.0198	0.0276	0	0	0.0000	0.0000	5	0	0.0020	0.0000	0	0	0.0000	0.0000	9	11	0.0036	0.0045	46	26	0.0182	0.0107	35	25	0.0139	0.0103	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1100	0.0000	0.4536	1018	0	0.4033	0.0000	0	6	0.0000	0.0025	439	332	0.1739	0.1369	0	0	0.0000	0.0000	9	4	0.0036	0.0016	8	4	0.0032	0.0016
LOCAL-101508	Leiria	Pombal	Pelariga	1821	1814	0.6271	0.6130	14	15	13	16	23	40	0.0201	0.0360	43	18	0.0377	0.0162	258	229	0.2259	0.2059	0	4	0.0000	0.0036	48	70	0.0420	0.0629	0	0	0.0000	0.0000	24	34	0.0210	0.0306	0	0	0.0000	0.0000	2	0	0.0018	0.0000	0	0	0.0000	0.0000	3	4	0.0026	0.0036	12	7	0.0105	0.0063	10	5	0.0088	0.0045	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	488	0.0000	0.4388	459	0	0.4019	0.0000	0	2	0.0000	0.0018	224	177	0.1961	0.1592	0	0	0.0000	0.0000	7	0	0.0061	0.0000	2	3	0.0018	0.0027
LOCAL-101509	Leiria	Pombal	Pombal	15292	15228	0.5997	0.5819	112	126	235	234	153	205	0.0167	0.0231	408	185	0.0445	0.0209	1856	1899	0.2024	0.2143	10	9	0.0011	0.0010	539	533	0.0588	0.0602	0	0	0.0000	0.0000	263	347	0.0287	0.0392	0	0	0.0000	0.0000	11	0	0.0012	0.0000	0	0	0.0000	0.0000	23	25	0.0025	0.0028	158	98	0.0172	0.0111	143	117	0.0156	0.0132	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	3391	0.0000	0.3827	3225	0	0.3517	0.0000	0	9	0.0000	0.0010	1984	1650	0.2164	0.1862	0	0	0.0000	0.0000	29	17	0.0032	0.0019	21	16	0.0023	0.0018
LOCAL-101510	Leiria	Pombal	Redinha	1907	1901	0.5931	0.5597	13	8	22	25	25	36	0.0221	0.0338	26	11	0.0230	0.0103	239	261	0.2113	0.2453	0	1	0.0000	0.0009	52	55	0.0460	0.0517	0	0	0.0000	0.0000	17	17	0.0150	0.0160	0	0	0.0000	0.0000	2	0	0.0018	0.0000	0	0	0.0000	0.0000	3	3	0.0027	0.0028	16	12	0.0141	0.0113	8	10	0.0071	0.0094	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	421	0.0000	0.3957	407	0	0.3599	0.0000	0	1	0.0000	0.0009	291	196	0.2573	0.1842	0	0	0.0000	0.0000	7	4	0.0062	0.0038	3	3	0.0027	0.0028
LOCAL-101513	Leiria	Pombal	Vermoil	2495	2479	0.6092	0.5918	13	18	38	29	41	40	0.0270	0.0273	32	21	0.0211	0.0143	342	347	0.2250	0.2365	1	3	0.0007	0.0020	98	76	0.0645	0.0518	0	0	0.0000	0.0000	19	19	0.0125	0.0130	0	0	0.0000	0.0000	1	0	0.0007	0.0000	0	0	0.0000	0.0000	5	2	0.0033	0.0014	14	12	0.0092	0.0082	24	17	0.0158	0.0116	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	695	0.0000	0.4738	644	0	0.4237	0.0000	0	2	0.0000	0.0014	235	181	0.1546	0.1234	0	0	0.0000	0.0000	8	5	0.0053	0.0034	5	0	0.0033	0.0000
LOCAL-101514	Leiria	Pombal	Vila Cã	1344	1360	0.6049	0.5816	13	6	19	18	15	25	0.0185	0.0316	19	9	0.0234	0.0114	168	211	0.2066	0.2668	2	0	0.0025	0.0000	32	35	0.0394	0.0442	0	0	0.0000	0.0000	6	17	0.0074	0.0215	0	0	0.0000	0.0000	4	0	0.0049	0.0000	0	0	0.0000	0.0000	3	3	0.0037	0.0038	11	1	0.0135	0.0013	13	6	0.0160	0.0076	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	379	0.0000	0.4791	397	0	0.4883	0.0000	0	0	0.0000	0.0000	98	79	0.1205	0.0999	0	0	0.0000	0.0000	13	1	0.0160	0.0013	0	1	0.0000	0.0013
LOCAL-101515	Leiria	Pombal	Meirinhas	1490	1494	0.6919	0.6767	11	9	17	21	27	22	0.0262	0.0218	17	11	0.0165	0.0109	249	255	0.2415	0.2522	2	2	0.0019	0.0020	81	71	0.0786	0.0702	0	0	0.0000	0.0000	11	20	0.0107	0.0198	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	2	6	0.0019	0.0059	8	7	0.0078	0.0069	7	5	0.0068	0.0049	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	506	0.0000	0.5005	504	0	0.4888	0.0000	0	1	0.0000	0.0010	88	72	0.0854	0.0712	0	0	0.0000	0.0000	4	1	0.0039	0.0010	3	2	0.0029	0.0020
LOCAL-101518	Leiria	Pombal	Guia, Ilha e Mata Mourisca	5542	5590	0.6593	0.6326	59	45	74	71	94	118	0.0257	0.0334	118	49	0.0323	0.0139	690	777	0.1888	0.2197	4	4	0.0011	0.0011	166	154	0.0454	0.0436	0	0	0.0000	0.0000	60	80	0.0164	0.0226	0	0	0.0000	0.0000	7	0	0.0019	0.0000	0	0	0.0000	0.0000	11	18	0.0030	0.0051	59	33	0.0161	0.0093	31	21	0.0085	0.0059	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1693	0.0000	0.4788	1664	0	0.4554	0.0000	0	4	0.0000	0.0011	593	455	0.1623	0.1287	0	0	0.0000	0.0000	14	9	0.0038	0.0025	10	5	0.0027	0.0014
LOCAL-101519	Leiria	Pombal	Santiago e S.Simão de Litém e Albergaria dos Doze	4580	4573	0.5690	0.5537	34	32	65	48	71	80	0.0272	0.0316	82	38	0.0315	0.0150	489	534	0.1876	0.2109	4	9	0.0015	0.0036	138	155	0.0530	0.0612	0	0	0.0000	0.0000	66	62	0.0253	0.0245	0	0	0.0000	0.0000	1	0	0.0004	0.0000	0	0	0.0000	0.0000	12	9	0.0046	0.0036	38	23	0.0146	0.0091	43	49	0.0165	0.0194	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	1067	0.0000	0.4214	1023	0	0.3926	0.0000	0	0	0.0000	0.0000	517	422	0.1984	0.1667	0	0	0.0000	0.0000	9	1	0.0035	0.0004	14	3	0.0054	0.0012
LOCAL-101602	Leiria	Porto de Mós	Alqueidão da Serra	1501	1489	0.6689	0.6454	20	18	25	26	20	26	0.0199	0.0271	57	16	0.0568	0.0166	142	162	0.1414	0.1686	2	2	0.0020	0.0021	65	63	0.0647	0.0656	0	0	0.0000	0.0000	33	41	0.0329	0.0427	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	0	0.0000	0.0000	5	4	0.0050	0.0042	14	5	0.0139	0.0052	16	16	0.0159	0.0166	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	378	0.0000	0.3933	376	0	0.3745	0.0000	0	1	0.0000	0.0010	223	201	0.2221	0.2092	0	0	0.0000	0.0000	5	2	0.0050	0.0021	1	0	0.0010	0.0000
LOCAL-101605	Leiria	Porto de Mós	Calvaria de Cima	2125	2132	0.6875	0.6759	20	21	27	22	22	30	0.0151	0.0208	71	30	0.0486	0.0208	367	398	0.2512	0.2762	2	2	0.0014	0.0014	74	85	0.0507	0.0590	0	0	0.0000	0.0000	21	44	0.0144	0.0305	0	0	0.0000	0.0000	2	0	0.0014	0.0000	0	0	0.0000	0.0000	3	5	0.0021	0.0035	40	24	0.0274	0.0167	32	19	0.0219	0.0132	0	0	0.0000	0.0000	0	0	0.0000	0.0000	0	487	0.0000	0.3380	452	0	0.3094	0.0000	0	1	0.0000	0.0007	315	269	0.2156	0.1867	0	0	0.0000	0.0000	12	2	0.0082	0.0014	1	2	0.0007	0.0014
